Date,Number of tweets
12/2/2022 9:00:00,197
12/2/2022 10:00:00,153
12/2/2022 11:00:00,179
12/2/2022 12:00:00,228
12/2/2022 13:00:00,199
12/2/2022 14:00:00,182
12/2/2022 15:00:00,183
12/2/2022 16:00:00,279
12/2/2022 17:00:00,236
12/2/2022 18:00:00,205
12/2/2022 19:00:00,1096
12/2/2022 20:00:00,1795
12/2/2022 21:00:00,2096
12/2/2022 22:00:00,2423
12/2/2022 23:00:00,2221
12/3/2022 0:00:00,2074
12/3/2022 1:00:00,1425
12/3/2022 2:00:00,945
12/3/2022 3:00:00,753
12/3/2022 4:00:00,777
12/3/2022 5:00:00,752
12/3/2022 6:00:00,735
12/3/2022 7:00:00,1242
12/3/2022 8:00:00,1862
12/3/2022 9:00:00,2306
12/3/2022 10:00:00,3356
12/3/2022 11:00:00,4137
12/3/2022 12:00:00,4122
12/3/2022 13:00:00,3812
12/3/2022 14:00:00,4582
12/3/2022 15:00:00,4531
12/3/2022 16:00:00,4107
12/3/2022 17:00:00,4085
12/3/2022 18:00:00,3710
12/3/2022 19:00:00,3110
12/3/2022 20:00:00,2749
12/3/2022 21:00:00,2451
12/3/2022 22:00:00,2133
12/3/2022 23:00:00,1939
12/4/2022 0:00:00,1592
12/4/2022 1:00:00,1234
12/4/2022 2:00:00,918
12/4/2022 3:00:00,716
12/4/2022 4:00:00,698
12/4/2022 5:00:00,706
12/4/2022 6:00:00,1013
12/4/2022 7:00:00,1325
12/4/2022 8:00:00,1950
12/4/2022 9:00:00,2458
12/4/2022 10:00:00,2511
12/4/2022 11:00:00,2210
12/4/2022 12:00:00,2359
12/4/2022 13:00:00,2533
12/4/2022 14:00:00,1959
12/4/2022 15:00:00,1786
12/4/2022 16:00:00,1532
12/4/2022 17:00:00,1525
12/4/2022 18:00:00,1505
12/4/2022 19:00:00,1212
12/4/2022 20:00:00,1105
12/4/2022 21:00:00,1176
12/4/2022 22:00:00,874
12/4/2022 23:00:00,868
12/5/2022 0:00:00,680
12/5/2022 1:00:00,501
12/5/2022 2:00:00,435
12/5/2022 3:00:00,329
12/5/2022 4:00:00,280
12/5/2022 5:00:00,310
12/5/2022 6:00:00,420
12/5/2022 7:00:00,712
12/5/2022 8:00:00,841
12/5/2022 9:00:00,972
12/5/2022 10:00:00,980
12/5/2022 11:00:00,1196
12/5/2022 12:00:00,1135
12/5/2022 13:00:00,1216
12/5/2022 14:00:00,1022
12/5/2022 15:00:00,1134
12/5/2022 16:00:00,967
12/5/2022 17:00:00,1076
12/5/2022 18:00:00,802
12/5/2022 19:00:00,785
12/5/2022 20:00:00,878
12/5/2022 21:00:00,1457
12/5/2022 22:00:00,1230
12/5/2022 23:00:00,1103
12/6/2022 0:00:00,948
12/6/2022 1:00:00,897
12/6/2022 2:00:00,550
12/6/2022 3:00:00,449
12/6/2022 4:00:00,396
12/6/2022 5:00:00,462
12/6/2022 6:00:00,703
12/6/2022 7:00:00,896
12/6/2022 8:00:00,1250
12/6/2022 9:00:00,1411
12/6/2022 10:00:00,1230
12/6/2022 11:00:00,1069
12/6/2022 12:00:00,1045
12/6/2022 13:00:00,1107
12/6/2022 14:00:00,934
12/6/2022 15:00:00,873
12/6/2022 16:00:00,1305
12/6/2022 17:00:00,1140
12/6/2022 18:00:00,1082
12/6/2022 19:00:00,1018
12/6/2022 20:00:00,915
12/6/2022 21:00:00,778
12/6/2022 22:00:00,678
12/6/2022 23:00:00,574